Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-08 13:35:29.113 -0700,"Running",0:00:00,0,0,0,"20170808_133529.113/LogFile.txt","","",0
2017-08-08 13:37:02.190 -0700,"Success",0:00:08,0,0,0,"20170808_133702.190/LogFile.txt","","",1
2017-08-11 13:11:33.068 -0700,"Success",0:00:00,0,0,0,"20170811_131133.068/LogFile.txt","","",1
2017-08-21 09:20:37.641 -0700,"Success",0:00:00,0,0,0,"20170821_092037.641/LogFile.txt","","",1
2017-09-14 09:19:54.300 -0400,"Success",0:00:02,0,0,0,"20170914_091954.300/LogFile.txt","","",1
2017-09-14 09:24:56.698 -0400,"Success",0:00:02,0,0,0,"20170914_092456.698/LogFile.txt","","",1
2017-09-14 09:25:11.439 -0400,"Success",0:00:00,0,0,0,"20170914_092511.439/LogFile.txt","","",1
